Datum,Turnier,Bedenkzeit,Turnierlink
23.07.,45. Quarantäne-Liga 5B,3+0,https://lichess.org/tournament/V5hdIEek
19.07.,44. Quarantäne-Liga 5B,5+0,https://lichess.org/tournament/HYmNHpCu
16.07.,43. Quarantäne-Liga 5A,3+2,https://lichess.org/tournament/qSMMYHAq
12.07.,42. Quarantäne-Liga 5B,3+0,https://lichess.org/tournament/WxTe7vKI
09.07.,41. Quarantäne-Liga 4A,5+0,https://lichess.org/tournament/64sKO4DW
05.07.,40. Quarantäne-Liga 4A,3+2,https://lichess.org/tournament/XF3DviZm
02.07.,39. Quarantäne-Liga 4A,3+0,https://lichess.org/tournament/rR8YixRk
28.06.,38. Quarantäne-Liga 4B,5+0,https://lichess.org/tournament/Dg1Gbrww
25.06.,37. Quarantäne-Liga 5A,3+2,https://lichess.org/tournament/iO0pDzEl
21.06.,36. Quarantäne-Liga 5A,3+0,https://lichess.org/tournament/sdHwTNaH
18.06.,35. Quarantäne-Liga 5A,5+0,https://lichess.org/tournament/HDFZJ80E
14.06.,34. Quarantäne-Liga 5A,3+2,https://lichess.org/tournament/fHRYHk4c
11.06.,33. Quarantäne-Liga 5A,3+0,https://lichess.org/tournament/ZQamFqWI
07.06.,32. Quarantäne-Liga 5A,5+0,https://lichess.org/tournament/d1NnZ92U
04.06.,31. Quarantäne-Liga 5C,3+2,https://lichess.org/tournament/TwwBiW63
31.05.,30. Quarantäne-Liga 5B,3+0,https://lichess.org/tournament/I6olCtjJ
28.05.,29. Quarantäne-Liga 5B,5+0,https://lichess.org/tournament/VkC0YYQJ
24.05.,28. Quarantäne-Liga 5A,3+2,https://lichess.org/tournament/ktTbCGCI
21.05.,Quarantäne-Liga 5A (nicht gewertet - not counted),3+2,https://lichess.org/tournament/47F1ZXwJ
17.05.,27. Quarantäne-Liga 4C,3+0,https://lichess.org/tournament/4D0oWpZo
14.05.,26. Quarantäne-Liga 4C,5+0,https://lichess.org/tournament/xNUHMuKm
10.05.,25. Quarantäne-Liga 4C,3+2,https://lichess.org/tournament/PBFtttIJ
07.05.,24. Quarantäne-Liga 4C,3+0,https://lichess.org/tournament/z5GAR2Bg
03.05.,23. Quarantäne-Liga 4C,5+0,https://lichess.org/tournament/Zsd4epQs
30.04.,22. Quarantäne-Liga 4C,3+2,https://lichess.org/tournament/C5lL5q6p
26.04.,"21. Quarantäne-Liga 4C mit Bensheim, DSK, Weisse Dame, Emscher, Spraitbach, SJ Brandenburg, SG Narva Berlin, Paderborn, Nord-Ost Berlin, LatinosChess",3+0,https://lichess.org/tournament/6Goh8F2r
23.04.,20. Quarantäne-Liga 3C,5+0,https://lichess.org/tournament/0c2OAG0J
19.04.,19. Quarantäne-Liga 4C,3+2,https://lichess.org/tournament/q2d5O41c
16.04.,18. Quarantäne-Liga 3C,3+0,https://lichess.org/tournament/bujFyFLL
12.04.,17. Quarantäne-Liga 4C,5+0,https://lichess.org/tournament/vdoW0msA
09.04.,16. Quarantäne-Liga 4C,3+0,https://lichess.org/tournament/n8syRF27
05.04.,15. Quarantäne-Liga 5C,5+0,https://lichess.org/tournament/tUAlCvD5
